0.0,18,12,0,0,0,0,0,0,0,0,0
0.5,40,60,12,6,0,0,0,0,0,0,0
1.0,22,105,121,35,5,2,1,0,0,0,0
1.5,14,107,195,218,105,10,1,0,1,0,0
2.0,2,102,232,309,335,180,25,3,0,0,0
2.5,7,40,240,634,399,357,103,19,2,1,0
3.0,3,10,190,600,541,263,141,43,12,11,0
3.5,1,4,65,274,448,256,95,52,24,31,1
4.0,0,1,10,87,281,214,96,35,17,35,24
4.5,0,1,1,17,72,99,65,31,16,12,20
5.0,0,0,2,8,17,43,38,21,16,5,10
5.5,0,0,2,4,5,13,16,19,3,6,0
6.0,0,1,1,1,2,5,10,13,6,6,2
6.5,0,0,0,0,2,2,9,7,7,6,2
7.0,0,0,0,0,1,0,3,3,2,6,4
7.5,0,0,0,0,0,0,0,0,2,1,1
8.0,0,0,0,0,0,0,0,0,0,1,0
