10.0,2.09,0.19,0.47,0.74,0.26
10.0,3.12,0.29,0.34,0.57,0.43
11.0,0.65,0.21,0.00,0.04,0.96
11.0,2.88,0.24,0.45,0.56,0.44
11.0,2.98,0.18,0.11,0.73,0.27
12.0,3.47,0.59,0.06,0.66,0.34
12.0,5.61,0.64,0.00,0.96,0.04
13.0,0.51,0.05,0.00,0.05,0.95
13.0,2.10,0.28,0.55,0.67,0.33
13.0,3.40,0.38,0.39,0.53,0.47
13.5,0.85,0.08,0.00,0.00,1.00
13.5,2.54,0.24,0.00,0.78,0.22
14.0,0.75,0.00,0.00,0.18,0.82
14.0,0.85,0.04,0.00,0.16,0.84
14.0,0.90,0.12,0.69,0.22,0.78
14.0,0.94,0.10,0.70,0.21,0.79
14.0,1.03,0.09,0.72,0.17,0.83
14.0,1.10,0.13,0.70,0.21,0.79
14.0,1.19,0.13,0.00,0.07,0.93
14.5,8.53,0.80,0.00,0.98,0.02
15.0,0.32,0.01,1.19,0.43,0.57
15.0,0.33,0.01,0.51,0.09,0.91
15.0,0.45,0.05,0.46,0.18,0.82
15.0,0.46,0.05,0.47,0.16,0.84
15.0,0.49,0.02,0.77,0.14,0.86
15.0,0.59,0.08,1.40,0.05,0.95
15.0,0.60,0.07,0.52,0.15,0.85
15.0,0.63,0.13,1.45,0.89,0.11
15.0,0.67,0.12,1.12,0.79,0.21
15.0,0.90,0.12,0.69,0.22,0.78
15.0,0.90,0.16,0.00,0.10,0.90
15.0,0.93,0.25,0.71,0.20,0.80
15.0,1.01,0.02,0.70,0.23,0.77
15.0,1.23,0.15,0.69,0.21,0.79
15.0,1.31,0.16,0.61,0.15,0.85
15.0,1.35,0.12,0.77,0.14,0.86
15.0,1.49,0.12,0.65,0.18,0.82
15.0,1.94,0.21,0.00,0.14,0.86
15.0,2.38,0.40,0.65,0.29,0.71
15.0,2.92,0.16,0.11,0.74,0.26
15.0,3.18,0.22,0.11,0.73,0.27
15.0,3.74,0.37,0.00,0.75,0.25
15.0,5.03,0.65,0.00,0.75,0.25
15.0,9.36,0.87,0.00,0.95,0.05
15.0,9.40,0.67,0.00,0.99,0.01
15.5,1.14,0.00,2.00,1.00,0.00
15.5,72.06,87.07,0.00,0.74,0.26
16.0,0.29,0.07,0.08,0.96,0.04
16.0,0.30,0.07,0.85,0.41,0.59
16.0,0.31,0.10,0.07,0.97,0.03
16.0,0.32,0.01,1.19,0.43,0.57
16.0,0.84,0.15,0.56,0.18,0.82
16.0,0.99,0.09,0.69,0.08,0.92
16.0,1.16,0.12,0.00,0.00,1.00
16.0,1.49,0.19,0.21,0.22,0.78
16.0,1.51,0.18,0.86,0.04,0.96
16.0,1.64,0.28,0.09,0.65,0.35
16.0,1.73,0.42,0.00,0.22,0.78
16.0,1.74,0.33,0.53,0.38,0.62
16.0,1.94,0.40,0.07,0.90,0.10
16.0,2.01,0.44,0.23,0.91,0.09
16.0,2.09,0.43,0.12,0.74,0.26
16.0,2.18,0.38,0.08,0.59,0.41
16.0,2.57,0.50,0.76,0.14,0.86
16.0,2.68,0.37,0.20,0.28,0.72
16.0,2.80,0.19,0.23,0.67,0.33
16.0,3.32,0.48,0.67,0.21,0.79
16.0,3.43,0.38,0.48,0.39,0.61
16.0,3.65,0.48,0.10,0.93,0.07
16.0,4.06,0.55,0.14,0.89,0.11
16.0,4.08,0.60,0.12,0.92,0.08
16.0,4.75,0.49,0.58,0.66,0.34
16.0,4.78,0.68,0.37,0.41,0.59
16.0,5.03,0.98,0.47,0.83,0.17
16.0,6.02,1.13,0.41,0.79,0.21
16.0,6.65,1.21,0.37,0.76,0.24
16.0,7.09,0.75,0.00,0.99,0.01
16.5,0.00,0.00,1.67,0.35,0.65
16.5,0.16,0.08,0.37,0.25,0.75
16.5,0.17,0.04,0.85,0.10,0.90
16.5,0.30,0.01,0.46,0.08,0.92
16.5,0.32,0.01,1.19,0.43,0.57
16.5,0.33,0.01,0.51,0.09,0.91
16.5,0.43,0.06,0.26,0.75,0.25
16.5,0.45,0.02,0.00,0.00,1.00
16.5,0.47,0.11,1.35,0.10,0.90
16.5,0.49,0.02,0.77,0.14,0.86
16.5,0.55,0.09,0.28,0.13,0.87
16.5,0.60,0.07,0.52,0.15,0.85
16.5,0.85,0.11,0.31,0.06,0.94
16.5,0.90,0.12,0.69,0.22,0.78
16.5,0.95,0.13,0.74,0.21,0.79
16.5,0.97,0.09,0.72,0.17,0.83
16.5,0.97,0.10,0.74,0.23,0.77
16.5,0.98,0.10,0.71,0.20,0.80
16.5,0.98,0.16,0.69,0.22,0.78
16.5,0.99,0.01,0.70,0.23,0.77
16.5,1.01,0.15,0.67,0.24,0.76
16.5,1.01,0.17,0.69,0.22,0.78
16.5,1.03,0.09,0.72,0.17,0.83
16.5,1.09,0.18,0.26,0.70,0.30
16.5,1.16,0.27,0.00,0.46,0.54
16.5,1.21,0.10,0.36,0.14,0.86
16.5,1.22,0.17,0.64,0.15,0.85
16.5,1.26,0.14,1.12,0.10,0.90
16.5,1.31,0.09,0.79,0.24,0.76
16.5,1.32,0.10,1.14,0.57,0.43
16.5,1.41,0.18,1.09,0.38,0.62
16.5,1.44,0.29,0.58,0.34,0.66
16.5,1.49,0.19,0.65,0.24,0.76
16.5,1.50,0.11,0.66,0.17,0.83
16.5,1.54,0.23,0.59,0.24,0.76
16.5,1.74,0.33,0.53,0.38,0.62
16.5,2.01,0.06,0.08,0.91,0.09
16.5,2.05,0.18,0.46,0.74,0.26
16.5,2.32,0.29,0.71,0.40,0.60
16.5,2.67,0.34,0.29,0.59,0.41
16.5,2.78,0.22,0.13,0.75,0.25
16.5,2.92,0.16,0.11,0.74,0.26
16.5,23.66,5.75,0.00,0.52,0.48
16.5,3.16,0.45,0.69,0.95,0.05
16.5,3.22,0.24,0.10,0.72,0.28
16.5,3.22,0.30,0.36,0.09,0.91
16.5,3.29,0.26,0.10,0.72,0.28
16.5,52.28,27.98,0.00,0.60,0.40
17.0,0.40,0.01,0.00,0.72,0.28
17.0,0.61,0.00,0.00,0.00,1.00
17.0,0.86,0.16,0.76,0.60,0.40
17.0,0.88,0.21,0.22,0.59,0.41
17.0,0.98,0.10,0.71,0.20,0.80
17.0,1.05,0.14,0.00,0.83,0.17
17.0,1.25,0.00,1.75,0.25,0.75
17.0,1.48,0.32,0.02,0.29,0.71
17.0,1.64,0.07,0.58,0.39,0.61
17.0,1.66,0.06,0.63,0.32,0.68
17.0,1.75,0.40,0.00,0.31,0.69
17.0,1.77,0.10,0.57,0.38,0.63
17.0,1.85,0.30,0.00,0.36,0.64
17.0,1.89,0.10,0.64,0.32,0.68
17.0,1.97,0.13,0.42,0.25,0.75
17.0,2.03,0.26,1.13,0.22,0.78
17.0,2.04,0.26,0.54,0.37,0.63
17.0,2.37,0.11,0.00,0.89,0.11
17.0,2.51,0.35,0.47,0.44,0.56
17.0,2.60,0.12,0.59,0.36,0.64
17.0,2.68,0.33,0.74,0.31,0.69
17.0,2.71,0.58,0.15,0.23,0.77
17.0,2.73,0.10,0.43,0.51,0.49
17.0,2.77,0.15,0.00,0.99,0.01
17.0,2.83,0.44,0.44,0.44,0.56
17.0,2.93,0.43,0.50,0.36,0.64
17.0,3.15,0.44,0.52,0.34,0.66
17.0,3.21,0.53,0.52,0.29,0.71
17.0,3.34,0.22,0.18,0.67,0.33
17.0,3.47,0.59,0.06,0.66,0.34
17.0,4.08,0.42,0.54,0.31,0.69
17.5,0.52,0.25,1.49,0.00,1.00
17.5,0.55,0.10,1.42,0.05,0.95
17.5,0.57,0.08,1.35,0.31,0.69
17.5,0.67,0.32,1.49,0.00,1.00
17.5,0.72,0.10,0.38,0.14,0.86
17.5,0.83,0.08,0.29,0.67,0.33
17.5,0.90,0.12,0.69,0.22,0.78
17.5,0.92,0.14,0.55,0.37,0.63
17.5,0.96,0.10,0.66,0.19,0.81
17.5,0.97,0.08,0.47,0.15,0.86
17.5,1.04,0.19,0.00,0.77,0.23
17.5,1.06,0.14,0.53,0.40,0.60
17.5,1.18,0.15,0.53,0.22,0.78
17.5,1.22,0.09,0.71,0.20,0.80
17.5,1.37,0.22,0.25,0.14,0.86
17.5,1.43,0.19,0.34,0.61,0.39
17.5,1.46,0.21,0.69,0.22,0.78
17.5,1.48,0.16,0.65,0.24,0.77
17.5,1.48,0.20,0.63,0.28,0.72
17.5,1.49,0.12,0.66,0.17,0.83
17.5,1.53,0.19,0.67,0.23,0.77
17.5,1.78,0.17,0.62,0.20,0.80
17.5,1.92,0.22,0.48,0.22,0.78
17.5,2.08,0.21,0.29,0.46,0.54
17.5,2.14,0.21,0.47,0.42,0.58
17.5,2.19,0.15,0.45,0.58,0.42
17.5,2.47,0.19,0.28,0.58,0.42
17.5,3.18,0.21,0.10,0.75,0.25
17.5,3.84,0.34,0.00,0.00,1.00
17.5,4.76,0.68,0.38,0.40,0.60
18.0,0.20,0.04,0.05,0.99,0.01
18.0,0.25,0.00,0.02,0.98,0.02
18.0,0.33,0.01,0.51,0.09,0.91
18.0,0.47,0.12,0.32,0.07,0.93
18.0,0.51,0.06,1.18,0.43,0.57
18.0,0.55,0.09,0.28,0.13,0.87
18.0,0.77,0.00,1.05,0.16,0.84
18.0,0.95,0.11,0.70,0.20,0.80
18.0,1.19,0.03,0.29,0.15,0.85
18.0,1.22,0.15,0.56,0.30,0.70
18.0,1.44,0.32,0.02,0.28,0.72
18.0,1.70,0.07,0.62,0.32,0.68
18.0,1.81,0.07,0.63,0.32,0.68
18.0,1.95,0.39,0.66,0.12,0.88
18.0,2.34,0.33,1.19,0.24,0.76
18.0,2.37,0.09,0.83,0.44,0.56
18.0,2.47,0.08,0.50,0.49,0.51
18.0,2.48,0.34,0.67,0.82,0.18
18.0,2.62,0.32,0.53,0.47,0.53
18.0,2.69,0.21,0.18,0.47,0.53
18.0,2.77,0.27,0.46,0.48,0.52
18.0,2.89,0.16,0.53,0.37,0.63
18.0,2.91,0.51,1.04,0.29,0.71
18.0,2.93,0.17,0.54,0.38,0.62
18.0,3.04,0.50,1.09,0.31,0.69
18.0,3.07,0.49,1.09,0.31,0.69
18.0,3.09,0.55,1.03,0.38,0.62
18.0,3.14,0.29,0.32,0.64,0.36
18.0,4.62,0.50,0.66,0.12,0.88
18.0,5.95,0.05,2.00,0.90,0.10
18.0,6.62,0.51,1.10,0.31,0.69
18.5,0.16,0.04,0.24,0.46,0.54
18.5,0.23,0.01,0.86,0.31,0.69
18.5,0.39,0.11,0.30,0.07,0.93
18.5,0.42,0.05,0.29,0.29,0.71
18.5,0.42,0.12,0.33,0.07,0.93
18.5,0.44,0.11,0.31,0.07,0.93
18.5,0.56,0.11,0.12,0.86,0.14
18.5,0.59,0.03,0.18,0.53,0.47
18.5,0.88,0.02,0.62,0.21,0.79
18.5,0.90,0.12,0.69,0.22,0.78
18.5,0.94,0.05,0.18,0.67,0.33
18.5,1.04,0.19,0.00,0.77,0.23
18.5,1.05,0.15,0.79,0.60,0.40
18.5,1.09,0.08,0.14,0.79,0.21
18.5,1.21,0.12,1.50,0.00,1.00
18.5,1.22,0.07,1.02,0.17,0.83
18.5,1.24,0.20,1.07,0.15,0.85
18.5,1.34,0.37,1.48,0.00,1.00
18.5,1.39,0.22,1.20,0.17,0.83
18.5,1.46,0.00,2.14,0.63,0.37
18.5,1.48,0.20,0.63,0.28,0.72
18.5,1.63,0.08,0.63,0.32,0.68
18.5,1.64,0.08,0.64,0.32,0.68
18.5,1.88,0.18,0.00,0.10,0.90
18.5,2.04,0.29,0.62,0.31,0.69
18.5,2.16,0.14,0.15,0.74,0.26
18.5,2.26,0.42,0.71,0.27,0.73
18.5,2.48,0.27,0.59,0.31,0.69
18.5,2.58,0.12,0.00,0.99,0.01
18.5,2.61,0.20,0.13,0.41,0.59
18.5,2.61,0.21,0.16,0.43,0.57
18.5,2.64,0.16,0.18,0.74,0.26
18.5,2.68,0.49,0.84,0.32,0.68
18.5,2.84,0.38,0.21,0.46,0.54
18.5,3.01,0.54,1.10,0.31,0.69
18.5,3.17,0.49,0.95,0.28,0.72
18.5,3.22,0.47,0.71,0.34,0.66
18.5,3.37,0.54,0.45,0.40,0.60
18.5,3.39,0.22,0.17,0.68,0.32
18.5,3.53,0.48,0.07,0.62,0.38
18.5,3.88,0.35,0.11,0.73,0.27
18.5,4.01,0.54,0.48,0.30,0.70
19.0,0.00,0.00,1.67,0.35,0.65
19.0,0.28,0.01,0.43,0.51,0.49
19.0,0.32,0.01,1.19,0.43,0.57
19.0,0.33,0.01,0.51,0.09,0.91
19.0,0.39,0.06,0.15,0.34,0.66
19.0,0.42,0.05,0.29,0.29,0.71
19.0,0.47,0.06,0.36,0.11,0.89
19.0,0.56,0.03,0.18,0.45,0.55
19.0,0.56,0.11,0.12,0.86,0.14
19.0,0.73,0.04,0.06,0.04,0.96
19.0,1.00,0.09,0.00,0.28,0.72
19.0,1.07,0.10,0.00,0.23,0.77
19.0,1.16,0.11,0.00,0.17,0.83
19.0,1.17,0.11,0.00,0.26,0.74
19.0,1.42,0.36,0.00,0.97,0.03
19.0,1.47,0.33,0.00,0.26,0.74
19.0,1.48,0.13,0.00,0.12,0.88
19.0,1.51,0.16,0.26,0.31,0.69
19.0,1.58,0.19,0.37,0.11,0.89
19.0,1.59,0.10,0.50,0.09,0.91
19.0,1.63,0.09,0.00,0.93,0.07
19.0,1.64,0.19,0.00,0.49,0.51
19.0,1.69,0.54,0.01,0.57,0.43
19.0,1.80,0.39,0.55,0.38,0.62
19.0,1.86,0.29,0.10,0.23,0.77
19.0,1.87,0.40,0.37,0.45,0.55
19.0,1.95,0.08,0.63,0.32,0.68
19.0,2.00,0.22,0.12,0.22,0.78
19.0,2.08,0.22,0.44,0.28,0.72
19.0,2.32,0.24,0.39,0.47,0.53
19.0,2.36,0.04,1.50,0.00,1.00
19.0,2.42,0.23,0.46,0.37,0.63
19.0,2.45,0.15,0.63,0.32,0.68
19.0,2.51,0.35,0.47,0.44,0.56
19.0,2.52,0.14,0.00,0.92,0.08
19.0,2.52,0.37,0.00,0.10,0.90
19.0,2.60,0.20,0.31,0.55,0.45
19.0,2.65,0.37,0.45,0.25,0.75
19.0,2.71,0.18,0.16,0.72,0.28
19.0,3.02,0.45,0.53,0.31,0.69
19.0,3.03,0.36,0.00,0.90,0.10
19.0,3.17,0.43,0.54,0.30,0.70
19.0,3.19,0.44,0.54,0.30,0.70
19.0,3.21,0.44,0.54,0.30,0.70
19.0,3.22,0.45,0.54,0.30,0.70
19.0,3.28,0.42,0.57,0.28,0.72
19.0,3.39,0.22,0.17,0.68,0.32
19.0,3.65,0.38,0.00,0.88,0.12
19.0,3.85,0.44,0.63,0.32,0.68
19.0,7.03,0.68,0.58,0.77,0.23
19.0,7.16,0.92,0.27,0.44,0.56
19.5,0.35,0.01,0.42,0.14,0.86
19.5,0.47,0.12,0.33,0.07,0.93
19.5,0.49,0.02,0.77,0.14,0.86
19.5,0.87,0.01,0.20,0.04,0.96
19.5,0.96,0.01,0.24,0.04,0.96
19.5,1.03,0.05,0.20,0.04,0.96
19.5,1.06,0.06,0.24,0.05,0.95
19.5,1.26,0.04,1.46,0.01,0.99
