10.0,55.75,4.99,12.52,8.62,11.10,0.07,6.63,0.00,0.00,0.24,0.01,0.00,0.05,0.02
10.0,65.60,6.16,7.22,5.23,6.84,0.00,4.61,2.08,0.00,2.26,0.00,0.00,0.00,0.00
11.0,33.55,10.67,0.00,0.00,2.17,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.0,69.77,4.16,2.49,0.00,16.98,0.16,6.08,0.00,0.00,0.00,0.00,0.00,0.07,0.00
12.0,64.63,10.95,1.06,0.00,12.22,0.10,3.06,0.00,3.25,0.00,0.02,0.00,0.07,0.06
12.0,76.39,8.74,0.00,3.67,9.38,0.17,0.39,0.00,0.00,0.00,0.01,0.00,0.09,0.07
13.0,30.62,3.00,0.00,0.00,3.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00
13.0,47.98,6.31,12.57,0.00,15.30,0.04,0.48,0.00,0.00,0.45,0.00,0.00,10.29,0.00
13.5,41.60,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.5,49.43,4.62,0.00,7.34,7.85,0.00,4.30,0.00,0.00,0.00,1.29,0.00,0.00,0.00
14.0,33.06,4.41,25.34,0.00,7.94,5.76,22.97,0.00,0.00,0.00,0.05,0.00,0.18,0.08
14.0,33.60,3.57,25.08,0.00,7.41,5.66,22.54,0.00,0.00,0.00,0.05,0.00,0.16,0.08
14.0,35.54,3.20,24.73,0.00,6.01,5.63,22.74,0.00,0.00,0.00,0.05,0.00,0.18,0.11
14.0,36.34,4.35,23.32,0.00,6.89,5.27,20.97,0.00,0.00,0.00,0.04,0.00,0.88,0.08
14.0,41.16,2.03,0.00,7.56,0.03,0.01,0.02,0.00,0.00,0.00,0.01,0.00,0.03,0.03
14.0,42.70,0.00,0.00,8.75,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.0,49.90,5.37,0.00,0.00,3.01,0.03,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.01
15.0,15.33,0.81,0.57,0.00,3.86,0.00,1.39,0.00,0.00,0.00,0.00,0.00,5.46,0.00
15.0,17.12,3.55,39.60,6.02,18.25,0.00,3.07,0.00,0.00,0.00,0.00,0.00,0.00,3.07
15.0,19.21,2.51,45.66,0.00,1.55,0.05,30.97,0.00,0.00,0.00,0.00,0.00,0.02,0.03
15.0,20.42,3.66,34.16,9.00,15.28,1.27,5.05,0.00,0.00,0.00,0.01,0.00,0.04,3.80
15.0,20.70,2.15,21.29,2.12,5.26,4.82,33.17,0.00,0.00,0.00,4.23,0.00,0.14,0.07
15.0,20.79,2.14,21.48,2.85,5.28,4.86,33.28,0.00,0.00,0.00,4.21,0.00,0.14,0.07
15.0,32.12,8.57,24.39,2.37,4.46,5.56,21.99,0.00,0.00,0.00,0.08,0.00,0.26,0.18
15.0,32.98,4.43,25.45,0.00,7.97,5.78,23.08,0.00,0.00,0.00,0.05,0.00,0.18,0.08
15.0,37.69,4.49,21.24,0.00,6.50,4.85,19.27,0.00,0.00,0.00,0.04,0.00,0.17,0.12
15.0,41.27,3.56,23.34,0.00,4.21,5.29,21.00,0.00,0.00,0.00,0.06,0.00,1.15,0.11
15.0,43.59,7.79,0.00,0.00,5.09,0.03,0.35,0.00,6.69,0.00,0.01,0.00,0.03,0.04
15.0,45.58,3.66,19.87,0.00,5.51,4.52,17.89,0.00,2.64,0.00,0.04,0.00,0.16,0.13
15.0,53.71,9.11,14.58,0.00,6.60,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.0,61.65,6.60,0.00,0.00,4.37,8.27,11.06,0.00,0.00,8.00,0.00,0.00,0.04,0.00
15.0,73.17,7.22,0.00,0.00,14.74,0.08,4.76,0.00,0.00,0.00,0.00,0.00,0.03,0.00
15.0,75.16,9.77,0.00,0.00,11.29,0.10,3.57,0.00,0.00,0.00,0.00,0.00,0.07,0.05
15.0,83.07,7.70,0.00,0.00,8.39,0.19,0.30,0.00,0.00,0.00,0.00,0.00,0.13,0.23
15.0,84.85,6.01,0.00,0.00,8.95,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.04,0.08
15.0,9.87,0.39,36.44,0.00,13.27,3.48,13.86,0.00,0.00,0.00,0.03,0.00,2.48,0.05
15.5,25.50,0.00,44.61,0.00,22.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.58,0.00
16.0,11.43,0.46,42.20,0.00,15.37,4.03,16.05,0.00,0.00,0.00,0.03,0.00,2.88,0.06
16.0,15.79,0.63,24.67,0.00,4.41,5.56,38.12,0.00,0.00,0.00,4.83,0.00,0.16,0.08
16.0,15.92,0.64,24.88,0.00,4.45,5.61,38.43,0.00,0.00,0.00,4.87,0.00,0.16,0.08
16.0,19.44,4.89,5.76,61.88,3.64,0.03,2.36,0.00,0.00,0.00,0.02,0.00,0.05,0.04
16.0,20.16,6.59,4.71,60.04,2.97,0.04,1.59,0.00,0.00,0.00,0.03,3.73,0.07,0.07
16.0,27.28,5.17,8.36,0.00,5.99,1.94,7.78,0.00,0.00,0.00,0.02,0.00,1.41,24.49
16.0,31.92,5.64,21.14,0.00,7.03,5.88,24.86,0.26,0.00,0.00,0.00,0.00,0.04,0.05
16.0,35.07,3.09,24.68,0.00,2.80,16.08,16.63,0.00,0.00,0.00,0.00,0.00,0.01,0.00
16.0,42.40,5.09,24.27,0.00,1.05,3.19,23.92,0.00,0.00,0.00,0.01,0.00,0.04,0.03
