id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
57610,Nash Stony Matte,Matte - Magnesium Matte,Matte - Smooth,Opaque,10,10,58.9632,13.1759,0,0,1.4264,2.7837,4.2101,0,12.8208,10.5291,0,0,0,0,0.0389,0,0,0,0,0,0,0.1289,0,0,0,0,0,0.1331,0,0,0
57625,Clara Giorello's Bronze Green/Pinnel Strontium Matte 98,Green - Copper,Matte - Smooth,Opaque,6,8,60.9876,11.5555,0,0.9514,2.1267,6.7327,8.8594,0,0.2251,0.5849,9.455,0,0,0,0,0,0,0,0,0,0,0.1012,0,0,2.8239,0,0,4.456,0,0,0
57629,Nuclear Base,Clear,Glossy,Transparent,6,6,59.6618,8.598,5.9766,0,0.3611,2.8008,3.1618,0,3.6401,17.8337,0,0,0,0,0.0289,0,0,0,0,0,0,0.0777,0,0,0,0,0,0.0751,0,0.9462,0
57641,John Post's Mystic Purple,Glaze,Satin - Matte,Opaque,10,10,70.4425,7.0602,0,0,0.9577,3.0358,3.9936,0,10.4041,7.1737,0,0,0,0,0.0144,0,0,0,0,0,0,0.0465,0.8273,0,0,0,0,0.0375,0,0,0
57643,Reeves Green,Glaze,Glossy,,10,10,69.0138,10.2422,0,0,5.4971,2.5947,8.0918,0,0.1114,10.6188,0,0,0,0,0.0063,0,0,1.8056,0,0,0,0.0939,0,0,0,0,0,0.0163,0,0,0
57644,Rich Blue,Glaze,Satin - Matte,Opaque,10,10,62.2287,11.8597,0.5822,0,3.2067,1.546,4.7527,0,8.8122,10.8888,0,0,0,0,0.0357,0,0,0,0,0,0,0.1123,0.6358,0,0,0,0,0.0919,0,0,0
57683,Leach Whitey,Glaze,,,,,77.7399,7.9386,0,0,2.3125,1.0475,3.36,0,5.0015,5.811,0,0,0,0,0.0219,0,0,0,0,0,0,0.0703,0,0,0,0,0,0.0569,0,0,0
57702,Pinnell Strontium Base + 5% Titanium - 100ml Tests,Matte,Matte,Opaque,5 &#189;,6,61.5792,12.1463,0,0.9962,2.3348,7.3915,9.7263,0,0.0943,0.3441,9.8999,0,0,0,0,0,0,0,0,0,0,0.0723,0,0,0,0,0,5.1414,0,0,0
57741,Zakin Taberg Emerald Green,Green - Copper,Satin,Translucent,4,6,54.3246,4.5532,14.2735,0,0.3701,4.7743,5.1444,0,1.7105,15.3768,0,0,1.6627,0,0.0136,0,0,0,0,0,0,0.0749,0,0,1.0953,0,0,1.7704,0,0,0
57751,Fat Honey,Clear,,,6,6,60.9295,7.1316,4.2729,5.2075,0.0907,1.014,1.1047,0,9.7961,6.6694,0,0,0,0,0.0127,0,0,0,0,0,0,0.3181,0,0,0,0,0,4.5576,0,0,0
57771,Arrowmont (w/ 3134),Glaze,Satin,Semi-opaque,5,6,59.4301,11.1353,2.9197,6.4933,1.6098,6.5599,8.1696,0,0.1065,11.6083,0,0,0,0,0.0189,0,0,0,0,0,0,0.0691,0,0,0,0,0,0.0491,0,0,0
57799,copper red 171,Red - Copper,Glossy,Transparent,6,8,64.4776,7.8744,5.2319,2.9288,2.9671,2.7361,5.7032,0,0.1688,9.6649,2.4288,0.0205,0,0.0047,0.0037,0,0,0,0,0,0,0.0688,0,0,0.666,0,0,0.0459,0,0.0042,0.7079
57866,Soft touch satin 3.1,Clear,Matte - Smooth,Semi-opaque,6,6,55.034,11.3773,0,0,5.4709,2.0787,7.5496,0,0,6.3087,0,0,19.1042,0,0,0,0,0,0,0,0,0.0269,0,0,0.5993,0,0,0,0,0,0
57878,Gooey 3134 Low,Specialty - Gloop,,,6,7,74.6699,7.5088,6.1368,0,0.0751,3.0908,3.1659,0,0.0526,8.2333,0,0,0,0,0.0376,0,0,0,0,0,0,0.0976,0,0,0,0,0,0.0976,0,0,0
57951,Dark Sky,Glaze,,,10,10,72.3128,6.5458,0,0,2.5616,1.1639,3.7255,0,0.0179,11.3734,0,0,0,0,0.0128,0,0,0,0,0,0,1.54,4.4384,0,0,0,0,0.0333,0,0,0
57972,Derek Gooey Test Low Si & Al,Specialty - Gloop,,,6,7,74.6968,7.7527,5.8338,0,1.2268,1.7681,2.9949,0,0.042,7.6186,0,0,0.8751,0,0.03,0,0,0,0,0,0,0.078,0,0,0,0,0,0.078,0,0,0
57973,Derek Gooey Test High Si & Al,Specialty - Gloop,,,6,7,79.8394,8.28,3.8864,0,0.8484,1.1873,2.0357,0,0.0498,5.1052,0,0,0.583,0,0.0356,0,0,0,0,0,0,0.0925,0,0,0,0,0,0.0925,0,0,0
58139,Eggshell (Danish material subs. for feldspar and frit,Glaze,,Semi-opaque,6,6,50.987,4.2587,11.735,0,0.6623,10.6784,11.3407,0,0.2659,7.777,0.0433,1.4972,6.6936,0,0.0061,0,0,0,0,0,0.0462,1.3317,0,0,0,0,0,0.0235,0,0,3.994
58181,C420 Blue and yellow crystals (lauge version),Glaze,,,,,56.7925,3.202,3.5933,0,0.6001,2.5857,3.1858,0,0.4963,2.1311,0,5.5575,18.8736,0,0,0,0,0,1.9062,0,0,0.248,0.9225,0,0,0,0,3.0912,0,0,0
58343,Midnight Black (Copy),Black - Glossy,Glossy,Opaque,6,6,66.4883,9.2978,3.5874,2.8509,0.895,1.3654,2.2604,0,3.6323,8.4272,0,0,0,0,0,0,0,0,0,0,0,0.5013,2.7946,0,0,0,0,0.1598,0,0,0
58344,HF 13 (original guess),Glaze,,,6,10,65.9508,14.6322,0,0,2.5469,3.6175,6.1644,0,0.0839,10.1895,0,0,2.7867,0,0.0277,0,0,0,0,0,0,0.0928,0,0,0,0,0,0.072,0,0,0
58345,HF 13 (more matte),Glaze,,,6,10,61.7107,16.6399,0,0,2.6345,3.7419,6.3764,0,0.0868,12.1046,0,0,2.8825,0,0.0287,0,0,0,0,0,0,0.096,0,0,0,0,0,0.0745,0,0,0
58357,Wood ash matrix 4.0 0.70,Ash,Satin,Translucent,12,12,65.9548,10.0628,0,0,5.0357,0.5596,5.5953,0,5.0813,10.4116,0,0,0,0,1.0967,0,0,0,0,1.4953,0,0.2658,0,0,0,0,0,0.0363,0,0,0
58358,Wood ash matrix 3.0 0.70,Ash,Matte - Semi,Semi-opaque,12,12,59.4576,11.9833,0,0,5.9967,0.6664,6.6631,0,6.0511,12.3986,0,0,0,0,1.306,0,0,0,0,1.7806,0,0.3165,0,0,0,0,0,0.0432,0,0,0
58359,Wood ash matrix 2.0 0.70,Ash,Matte,Opaque,12,12,49.8956,14.8095,0,0,7.411,0.8236,8.2346,0,7.4782,15.3229,0,0,0,0,1.614,0,0,0,0,2.2006,0,0.3912,0,0,0,0,0,0.0534,0,0,0
58360,Wood ash matrix 4.0 0.50,Ash,Satin,Transparent,12,12,68.0703,7.4539,0,0,4.9669,0.5526,5.5195,0,5.2269,10.7819,0,0,0,0,1.1373,0,0,0,0,1.5506,0,0.2326,0,0,0,0,0,0.0269,0,0,0
58361,Wood ash matrix 3.0 0.50,Ash,Satin,Transparent,12,12,61.7061,8.9396,0,0,5.9569,0.6628,6.6197,0,6.2687,12.9309,0,0,0,0,1.364,0,0,0,0,1.8597,0,0.279,0,0,0,0,0,0.0322,0,0,0
58362,Wood ash matrix 2.0 0.50,Ash,Satin - Matte,Semi-opaque,12,12,52.1735,11.165,0,0,7.4398,0.8278,8.2675,0,7.8292,16.1499,0,0,0,0,1.7035,0,0,0,0,2.3226,0,0.3484,0,0,0,0,0,0.0403,0,0,0
