id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
1,Base Glaze Peltzman,Glaze,Glossy,Transparent,8,8,69.5261,7.4455,0,0,1.4897,3.5624,5.0521,0,0.009,13.5916,0,0,4.3233,0,0.0064,0,0,0,0,0,0,0.0292,0,0,0,0,0,0.0168,0,0,0
4,Celadon-type  glaze David Pier,Iron - Celadon,Glossy,Transparent,9,11,73.5137,7.9179,0,0,2.2234,0.9122,3.1356,0,0.0994,15.1016,0,0,0,0,0,0,0,0,0,0,0,0.0702,0,0,0.0108,0,0,0.0048,0,0.146,0
5,Pier's Pure Lux-Deluxe Revised,Clear,Glossy,Transparent,8,9,70.4323,7.2079,2.3664,2.6814,0.2481,1.4185,1.6666,0,0.0702,0.1753,0,10.8692,3.8714,0,0,0,0,0,0,0,0,0.0414,0,0,0.0128,0,0,0.0034,0,0.6016,0
6,Blue Acero,Blue,Satin - Matte,Semi-opaque,9,11,61.1857,13.1454,0,0,4.1039,1.9229,6.0268,0,2.3536,16.1525,0,0,0,0,0.0327,0,0,0,0,0,0,0.893,0.1252,0,0,0,0,0.0851,0,0,0
8,#207.3,Clear,Glossy,,8,8,66.1378,7.2846,0,0,1.2723,4.1182,5.3905,0,6.0856,12.0695,0,2.9355,0,0,0.0053,0,0,0,0,0,0,0.0774,0,0,0,0,0,0.0138,0,0,0
9,Albany Glaze,Iron - Slip-Based,,,9,10,66.5966,9.498,0,0,2.3945,1.5848,3.9793,0,3.104,12.825,0,0,0,0,0,0,0,0,0,0,0,3.7353,0,0,0,0,0,0.2618,0,0,0
11,Alkaline High Fire 1,Clear,Glossy,Transparent,9,10,77.7298,9.075,0,0,7.7931,0.0039,7.797,0,0.0091,5.349,0,0,0,0,0.0065,0,0,0,0,0,0,0.0168,0,0,0,0,0,0.0168,0,0,0
12,Alkaline high fire 2,Clear,Glossy,Transparent,10,10,74.4222,7.9999,0,0,4.0524,1.8344,5.8868,0,0.1207,11.4635,0,0,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,0,0,0.065,0,0,0
13,Alkaline high fire 2 no cs,Clear,Glossy,Transparent,10,10,73.6435,8.3121,0,0,6.4682,0,6.4682,0,0.1211,11.4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alkaline Lee Rexrode,"White, Off-White",Satin - Matte,Semi-opaque,9,9,61.7488,10.9135,0,1.343,2.0562,6.4977,8.5539,0,0.149,0.5441,0,16.6005,0,0,0,0,0,0,0,0,0,0.0665,0,0,0,0,0,0.0807,0,0,0
15,Alkaline Lee Rexrode Sr,"White, Off-White",Satin - Matte,Translucent,9,9,61.6977,10.9044,0,1.3419,2.0545,6.4923,8.5468,0,0.1489,0.5437,16.6696,0,0,0,0,0,0,0,0,0,0,0.0665,0,0,0,0,0,0.0806,0,0,0
16,Amber Barnard,Iron - Slip-Based,Glossy,Transparent,10,10,59.7466,5.8742,1.0277,0,2.5245,1.0339,3.5584,0,0.8147,24.4903,0,0,0,0,0.0019,0,0,0,1.449,0,0,2.7765,0,0,0,0,0,0.2607,0,0,0
17,Val Cushing Amber Celadon,Iron - Amber,Glossy,,9,10,68.7485,7.5482,0.7436,0,2.3069,1.1118,3.4187,0,1.7406,16.091,0,0,0,0,0.0049,0,0,0,0,0,0,1.5767,0,0,0,0,0,0.1277,0,0,0
18,Amber Celadon McKenzie Smith,Iron - Amber,Glossy,Transparent,9,10,59.4966,5.7483,0,0,6.4525,3.0552,9.5077,0,2.5311,17.1733,0,0,0,0,1.4246,0,0,0,0,0,0,4.0847,0,0,0,0,0,0.0338,0,0,0
19,Amber Celadon Nick's Ochre,Iron - Amber,Glossy,Transparent,10,10,72.0018,8.3565,0,0,2.0837,0.9852,3.069,0,0.137,15.3449,0,0,0,0,0,0,0,0,0,0,0,0.8725,0,0,0,0,0,0.2183,0,0,0
20,Val Cushing Amber Celadon no Albany,Iron - Amber,Glossy,,9,10,69.1648,7.627,0.717,0,2.1421,1.3352,3.4772,0,1.5669,16.1483,0,0,0,0,0,0,0,0,0,0,0,1.2988,0,0,0,0,0,0,0,0,0
21,Val Cushing Amber Celadon no albany,Iron - Amber,Glossy,,9,10,68.6503,7.2274,1.1562,0,2.1911,1.3257,3.5168,0,1.5475,16.6187,0,0,0,0,0,0,0,0,0,0,0,1.2831,0,0,0,0,0,0,0,0,0
22,Amber Celadon VC no albany,Iron - Amber,Glossy,Translucent,10,10,65.7331,6.8483,0.8483,0,2.591,0.9501,3.5411,0,1.9799,17.759,0,0,0,0,0.0373,0,0,0,0.3625,0,0,2.5258,0,0,0,0,0,0.3648,0,0,0
23,Amber Celadon VC no albany + Sr,Iron - Amber,Glossy,Translucent,10,10,67.6632,7.1264,1.2756,0,2.1136,1.6015,3.7151,0,1.8037,8.6474,8.6345,0,0,0,0,0,0,0,0,0,0,1.1341,0,0,0,0,0,0,0,0,0
24,Amber Celadon VC no albany recalc,Iron - Amber,Glossy,Translucent,10,10,66.9621,6.7565,1.2442,0,2.1482,1.5962,3.7444,0,1.828,18.4445,0,0,0,0,0.0172,0,0,0,0,0,0,0.9585,0,0,0,0,0,0.0447,0,0,0
25,Amber Celadon w/Alberta Slip,Iron - Amber,Glossy,Transparent,10,10,67.8969,8.046,0.7561,0,2.3037,1.8276,4.1313,0,2.5291,15.1569,0,0,0,0,0.0208,0,0,0,0,0,0,1.3675,0,0,0,0,0,0.0953,0,0,0
26,Amber Gulden's,Iron - Amber,Glossy,Translucent,10,10,65.9204,6.1345,0.8679,0,2.4991,1.3465,3.8457,0,0.3453,19.7649,0,0,0,0,0.0016,0,0,0,0,0,0,3.0039,0,0,0,0,0,0.1157,0,0,0
27,Amber Gulden's no GB,Iron - Amber,Glossy,Translucent,10,10,65.9049,6.1568,1.2552,0,3.2337,0.7108,3.9445,0,0.0688,19.9779,0,0,0,0,0,0,0,0,0,0,0,2.6919,0,0,0,0,0,0,0,0,0
28,Amber Martin,Iron,,,10,10,58.5241,6.7535,0,0,2.5105,1.1402,3.6507,0,4.2561,16.4355,0,0,5.2227,0,0.0143,0,0,0,0,0,0,1.1143,0,0,0,0,0,4.029,0,0,0
29,Val Cushing Amber Shaner Celadon ARAC,Iron - Amber,Glossy,Transparent,9,10,68.7878,7.5582,0.8198,0,2.2908,1.1167,3.4075,0,1.7571,15.9826,0,0,0,0,0.0054,0,0,0,0,0,0,1.5527,0,0,0,0,0,0.1288,0,0,0
30,Val Cushing Amber Shaner Celadon ARAC Alberta,Iron - Amber,Glossy,Transparent,9,10,61.5316,9.2563,0.8046,0,2.0395,2.0755,4.115,0,5.4776,16.2542,0,0,0,0,0.0405,0,0,0,0,0,0,2.312,0,0,0,0,0,0.2082,0,0,0
31,Amber Shaner Celadon ARAC no albany,Iron - Amber,Glossy,Transparent,9,10,68.6654,7.5333,1.339,0,1.9633,1.5593,3.5226,0,1.8615,16.2191,0,0,0,0,0.0173,0,0,0,0,0,0,0.7969,0,0,0,0,0,0.0449,0,0,0
34,Amber theoretical 3,Iron - Amber,Glossy,Transparent,10,10,73.5487,5.7074,0,1.7971,1.1118,3.6177,4.7295,0,0.1216,8.2818,2.6343,0,0,0,0,0,0,0,0,0,0,3.1796,0,0,0,0,0,0,0,0,0
35,Amber- Honey Weiser's,Iron - Amber,Glossy,Transparent,9,9,68.8789,7.5549,0,0,4.6516,0.7181,5.3697,0,0.8042,13.9573,0,0,0,0,0,0,0,0,0,0,0,3.3548,0,0,0,0,0,0.0802,0,0,0
36,Anderson Blue,Blue,Matte,,9,10,59.1644,12.9191,0,0,0.0918,7.8206,7.9124,0,0.0771,15.3858,0,0,0,0,0.0187,0,0,0,0,0,0,0.0839,4.3131,0,0,0,0,0.1256,0,0,0
37,Andreson Pearl,Blue - Cobalt,Glossy,,10,10,57.2699,8.4108,3.8388,0,4.9079,2.8679,7.7757,0,0.8873,10.3858,0,5.0511,2.0735,0,0.007,0,0,0,0,0,0,0.0721,0,0,0.3104,0,0,0.049,0,0,3.8684
38,Andy Martin's Showsaver,Clear,Glossy,Transparent,10,10,64.1268,7.3307,1.2592,0,1.2233,3.9247,5.1479,0,0.4018,3.9841,7.5814,9.9846,0,0,0.0023,0,0,0,0,0,0,0.0748,0,0,0,0,0,0.1065,0,0,0
39,Angel Eyes,Iron - Celadon - Blue,,,10,10,69.4839,7.4911,0,0,4.9854,0.0076,4.9929,0,0.0177,13.8352,0,0,0,0,0.0126,0,0,0,0,0,0,1.543,0,0,0,0,0,2.6235,0,0,0
41,ash Benji's,Ash,Satin - Matte,Opaque,8,10,47.9713,8.7658,0,0,9.1577,2.1167,11.2743,0,7.5953,18.882,0,1.9366,0,0,1.8857,0,0,0,0.9142,0,0.2775,0.4499,0,0,0,0,0,0.0473,0,0,0
42,ash Benji's remix,Ash,Satin - Matte,Opaque,8,10,54.0519,8.8443,0,0,8.8454,4.1402,12.9856,0,4.0916,13.7446,0,1.8778,0,0,2.3666,0,0,0,0,0,0.2691,1.7226,0,0,0,0,0,0.0459,0,0,0
43,Ash Bleu Bass,Ash,Glossy,Opaque,8,10,60.7306,4.395,0,0,8.2113,1.5498,9.7611,0,6.9975,6.9094,0,0,0,0,2.0356,0,0,0,0.6481,0,0,0.1129,3.6716,0,0,0,0,0.0738,0,4.6644,0
44,Ash Blue van Gilder,Ash,,Semi-opaque,10,10,53.3274,6.4107,0,0,3.2354,1.6381,4.8735,0,3.0894,29.3998,0,0,0,0,1.1099,0,0,0,0,0,0,1.1177,0.324,0,0,0,0,0.3475,0,0,0
47,Ash Fake blue,Ash - Slip-Based,,,9,10,49.2267,9.7614,0,0,1.7004,1.5575,3.2578,0,4.2021,29.9604,0,0,0,0,0.0301,0,0,0,0,0,0,2.221,0.9908,0,0,0,0,0.3497,0,0,0
48,ash fake BP26S Light green,Ash,,,8,8,56.221,11.2083,0,0,5.3422,0,5.3422,0,11.9785,10.9941,0,0,3.6542,0,0,0,0,0,0,0,0,0,0,0,0.6018,0,0,0,0,0,0
49,Ash Felix's Green,Ash,Satin,Opaque,8,10,60.7547,7.6151,0.5382,0,5.284,3.9292,9.2132,0,7.8555,11.2443,0,0,0,0,1.3559,0,0,0,0,0,0.2537,1.1344,0,0,0,0,0,0.035,0,0,0
50,Ash Fresca Base,Ash,Satin,Translucent,10,10,46.5795,4.8978,0,0,9.5926,4.5355,14.1281,0,6.1108,22.6198,0,0,0,0,3.4611,0,0,0,0,0,0,2.0675,0,0,0,0,0,0.1354,0,0,0
51,Ash Green Cooter,Ash,,,9,10,64.0246,11.1237,0,0,7.5251,7.2326,14.7577,0,2.3458,5.6314,0,0,0,0,1.3273,0,0,0,0,0,0,0.7895,0,0,0,0,0,0,0,0,0
52,Ash Hanna's Fake,Ash - Slip-Based,,,10,10,54.8812,7.9148,0,0,2.1113,0.2938,2.4051,0,1.8954,24.2083,5.4114,0,0,0,0.0743,0,0,0,0,0,0,2.5553,0,0,0,0,0,0.654,0,0,0
53,Ash Honey Doug's,Ash,Glossy - Semi,Translucent,10,10,47.3644,8.5373,0,0,8.6422,4.0169,12.6591,0,10.0762,15.4493,0,0,0,0,2.4457,0,0,0,0,0,0,1.4472,0,0,0,0,0,0.0516,0,1.9693,0
54,Ash Katz Fake,Ash,,,10,10,46.8259,4.677,0,0,1.0125,0,1.0125,0,0.9465,39.2878,0,0,0,0,0,0,0,0,2.3529,0,0,4.4794,0,0,0,0,0,0.418,0,0,0
55,Ash Lanman Fake Wood,Ash - Slip-Based,,Semi-opaque,9,10,53.8438,5.6091,0,0,1.4307,0.6817,2.1124,0,4.0736,28.4412,3.7073,0,0,0,0,0,0,0,0,0,0,2.0299,0,0,0,0,0,0.1827,0,0,0
56,Ash McWhinnie Base,Ash,,,8,10,63.9698,5.4434,2.3182,0,3.6431,2.0717,5.7148,0,3.8329,16.9409,0,0,0,0,0.999,0,0,0,0,0,0,0.6126,0,0,0,0,0,0.1683,0,0,0
57,Ash pale green,Ash,Satin - Matte,Translucent,10,10,57.8084,5.7773,0,0,7.3695,2.85,10.2195,0,4.7562,15.7659,0,0,0,0,2.3441,0,0,0,0,0,0,1.7015,0,0,0,0,0,0.1048,0,1.5224,0
59,Leach’s Basic Ash Glaze,Ash,Satin,Translucent,10,10,54.6709,9.5975,0,0,10.223,4.6932,14.9163,0,4.9302,11.2093,0,0,0,0,2.769,0,0,0,0,0,0,1.6901,0,0,0,0,0,0.2167,0,0,0
60,Ash Traditional,Ash,Satin,Translucent,10,11,51.0875,6.0168,0,0,10.0755,4.2073,14.2828,0,7.3901,13.6227,0,0,0,0,3.5314,0,0,0,0,0,0,3.5748,0,0,0,0,0,0.494,0,0,0
61,Val Cushing V.C. Ash Mixed,Ash,Satin - Matte,Semi-opaque,9,10,52.8121,7.6,0,0,9.9152,4.6272,14.5424,0,5.3816,12.2708,0,0,0,0,3.1203,0,0,0,0,0,0,4.2729,0,0,0,0,0,0,0,0,0
62,"Ash, fake Donna's",Ash - Slip-Based,Satin - Matte,Translucent,9,9,47.0617,7.0172,0,0,1.6614,0.6313,2.2927,0,3.2883,29.5269,0,4.128,0,0,0,0,0,0,0,0,0,1.8482,0,0,0,0,0,4.8371,0,0,0
65,Base 8A,Matte,,,10,10,72.1849,6.7252,1.0565,7.6212,0.9827,6.2187,7.2014,0,0.0366,2.6058,0,2.4066,0,0,0.0261,0,0,0,0,0,0,0.0679,0,0,0,0,0,0.0679,0,0,0
66,Base Ayumi's Tuesday,Matte - Magnesium Matte,Satin - Matte,Opaque,10,10,51.8927,9.4343,0,0,1.4973,3.1967,4.694,0,14.3902,18.1771,0,0,0,0,1.3024,0,0,0,0,0,0,0.0584,0,0,0,0,0,0.0511,0,0,0
67,Base Ayumi's Tuesday recalc,"White, Off-White",Satin - Matte,,10,10,53.7222,8.4686,0,0,0.9308,3.0133,3.9441,0,14.0594,15.2809,0,0,0,0,4.5129,0,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0
68,Base F Ayumi's,"White, Off-White",,,10,10,53.5217,11.4907,0,0,1.6232,5.897,7.5202,0,5.1342,10.6931,11.4594,0,0,0,0.0279,0,0,0,0,0,0,0.0803,0,0,0,0,0,0.0725,0,0,0
69,Base GG Bohls,"White, Off-White",Glossy,Semi-opaque,9,9,68.0019,6.4512,1.1283,0,1.8018,1.005,2.8068,0,6.0301,14.9437,0,0.3712,0,0,0.0021,0,0,0,0,0,0,0.0179,0,0,0,0,0,0.0037,0,0,0.2431
70,Base Glaze Andy Shaw,Clear,Glossy,Transparent,10,10,61.1519,9.5829,0,0,1.3272,1.5023,2.8295,0,4.2886,21.9023,0,0,0,0,0.0255,0,0,0,0,0,0,0.1003,0,0,0,0,0,0.1191,0,0,0
71,Base K Ayumi's,Ash,,,10,10,40.6062,3.2809,0,0,0.0328,0.0098,0.0426,0,14.1836,8.9871,27.2973,0,5.5006,0,0.0164,0,0,0,0,0,0,0.0427,0,0,0,0,0,0.0426,0,0,0
72,Base Randy's,Clear,,,6,10,66.7419,4.0071,8.2822,0,0.104,3.957,4.0611,0,9.3199,7.4536,0,0,0,0,0.0213,0,0,0,0,0,0,0.07,0,0,0,0,0,0.043,0,0,0
73,Base Seacrest,Clear,Glossy,Transparent,10,10,72.4965,8.4369,0,0,4.7071,1.8475,6.5546,0,0.0951,9.3273,0,0.9019,2.1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Val Cushing V.C. Base AA Horie,Matte,Satin - Matte,Opaque,10,10,56.3751,11.5534,0,0,1.7089,1.9413,3.6502,0,0.167,27.9638,0,0,0,0,0.0288,0,0,0,0,0,0,0.1188,0,0,0,0,0,0.1431,0,0,0
79,Berry Rust (new),Iron,,,10,10,62.9511,6.5582,4.2161,0,0.3213,2.9923,3.3136,0,7.4502,10.3747,0,0,0,0,1.7352,0,0,0,0,0,0,3.332,0,0,0,0,0,0.0689,0,0,0
80,Berryrust,Iron,,,7,10,60.7831,7.4132,2.3786,0,0.6753,2.3665,3.0418,0,8.844,11.8423,0,0,0,0,1.8723,0,0,0,0,0,0,3.7581,0,0,0,0,0,0.0666,0,0,0
81,Big Sky,Turquoise,,,10,10,64.7774,13.622,0.5013,1.5959,2.3014,7.3719,9.6733,0,0.3127,7.5596,0,0,0,0,0.963,0,0,0,0,0,0,0.0827,0,0,0.8322,0,0,0.0799,0,0,0
82,Black #1223 Glossy,Black,Glossy,,10,10,67.5421,7.2603,0,0,3.5419,1.6149,5.1568,0,0.0656,10.7853,0,0.8366,0,0,0,0,0,0.5564,0,1.6245,0,2.0155,4.0576,0,0,0,0,0.0992,0,0,0
84,Black #27,Black,,,9,10,73.6575,5.9633,0,0,3.0165,1.3754,4.3919,0,4.4912,5.9853,0,0,0,0,0,0,0,0,0,0,0,2.5214,0,0,0,0,0,2.9894,0,0,0
85,Black (from Dennis Olson),Black,Glossy,,10,10,71.2961,9.6177,0,0,0.0188,8.3369,8.3558,0,1.8065,5.6879,0,0,0,0,0.006,0,0,0,0,0,0,1.5758,1.6387,0,0,0,0,0.0155,0,0,0
86,Val Cushing V.C. Black B,Black,Satin,Opaque,10,10,62.9487,9.0974,0,0,2.0977,2.2901,4.3877,0,8.784,4.9372,0,3.6125,0,0,0,0,0,0.4693,0,1.4259,0,3.2166,0.8885,0,0,0,0,0.2322,0,0,0
88,Black Barnard,Black,Matte - Dry,,10,10,74.6972,8.6216,0,0,1.8608,1.4384,3.2992,0,1.3468,0.4704,0,0,0,0,0,0,0,0,3.2915,0,0,6.2721,1.4166,0,0,0,0,0.5847,0,0,0
90,Black Brouillard Charcoal,Black,,Opaque,10,10,69.4926,9.9285,0,0,5.0537,2.2646,7.3183,0,3.4466,6.9534,0,0,0,0,0,0,0,0,0,0,0,1.9137,0,0,0,0,0,0.1061,0,0.8408,0
91,Black Charcoal,Black,Satin - Matte,Opaque,9,11,70.1383,9.9053,0,0,4.7693,2.2396,7.0089,0,3.4539,6.6373,0,0,0,0,0,0,0,0,0,0,0,1.9219,0,0,0,0,0,0.1255,0,0.8088,0
92,Black Charlie D Manganese,Black,Satin,Opaque,10,10,67.2868,6.4971,0,0,2.112,2.1736,4.2856,0,12.0753,7.1014,0,0,0,0,0,0,0,0,0,2.5914,0,0.0813,0,0,0,0,0,0.0811,0,0,0
93,Black H38-40 Sondahl Gloss,Black,Glossy,Opaque,8,10,66.2028,9.848,0,0,2.5484,2.9713,5.5197,0,3.1657,11.7609,0,0,0,0,0.3041,0,0,0,0,0,0,0.6223,1.3128,0,1.2638,0,0,0,0,0,0
95,Black Kelly Cowan's,Black,Satin - Matte,Opaque,10,10,64.4429,9.9329,0,0,0.0514,5.4216,5.4731,0,7.3605,7.3479,0,0,0,0,0.0221,0,0,1.5454,0,2.3479,0,1.4697,0,0,0,0,0,0.0575,0,0,0
96,Black Loretta,Black,Satin - Matte,Opaque,10,10,67.0274,10.8925,0,0,2.5183,2.5666,5.0849,0,3.8978,6.1057,0,0,0,0,0,0,0,0,0,0,0,1.8846,4.8188,0,0,0,0,0.2882,0,0,0
97,Black Matte,Matte - Magnesium Matte,Satin - Matte,Semi-opaque,9,9,63.7036,11.3675,0,0,1.3939,1.5733,2.9672,0,5.8272,13.6582,0,0,0,0,0.0293,0,0,0.4581,0,0,0,0.6865,1.1708,0,0,0,0,0.1314,0,0,0
98,Black McKensie Decorative,Black,,Opaque,10,10,64.9609,10.1586,0,0,0.0492,5.1751,5.2243,0,2.5761,9.6616,0,0,0,0,0,0,0,0.9293,0,1.9252,0,3.8521,0.6477,0,0,0,0,0.0643,0,0,0
99,Black Mirror,Black,Glossy,Opaque,10,10,69.4638,6.113,0,0,3.6334,1.5958,5.2292,0,0.1247,10.4173,0,0.7945,0,0,0,0,0,0.516,0.3099,1.568,0,2.4771,2.9314,0,0,0,0,0.0551,0,0,0
100,Black Noir Lindo Gloss,Black,Glossy,Opaque,8,10,57.3808,11.1478,0,0,3.4628,1.5057,4.9686,0,0.0777,13.1128,0,0,4.0211,0,0.0288,0,0,0,0,1.9628,0,3.3278,0.8154,0,0,0,0,2.2877,0,0,0.8686
101,Black perfect,Black,,,10,10,61.5402,7.4685,0,0,5.2651,1.689,6.9542,0,0,9.0764,0,0,10.2897,0,0,0,0,1.8367,0,0,0,1.6608,1.1735,0,0,0,0,0,0,0,0
102,Black Peter's Metallic,Black,,Opaque,5,10,62.7563,10.0259,5.2267,0,5.6205,2.5607,8.1812,0,0.0085,7.4744,0,0,0,0,0.0061,0,0,0,0,2.8064,0,0.0489,1.1774,0,2.2723,0,0,0.0158,0,0,0
103,Black Pizzaz Lorna Meaden,Black,,Opaque,10,10,66.1724,8.9656,0,0,2.3562,2.4253,4.7815,0,9.7583,0.3497,4.6952,0,0,0,0.0591,0,0,0.456,0,1.3855,0,1.6913,1.1654,0,0,0,0,0.5201,0,0,0
105,Val Cushing V.C. BLACK SATIN MATT,Black,Matte,Opaque,10,10,65.3658,6.1808,0,0,2.0777,2.09,4.1677,0,11.8941,7.0095,0,0,0,0,0,0,0,0.4223,0,1.2831,0,1.1977,2.3987,0,0,0,0,0.0803,0,0,0
108,Black Seacrest,Black,Glossy,Opaque,9,10,71.8501,8.5554,0,0,3.8588,1.8452,5.704,0,0.1166,8.796,0.8269,0,1.9996,0,0.0108,0,0,0,0,0,0,2.1125,0,0,0,0,0,0.0281,0,0,0
109,Black Shige's,Black,Glossy - Semi,Opaque,9,10,70.485,9.8066,0,0,2.242,4.9082,7.1502,0,1.8928,7.0178,0,0,0,0,0.006,0,0,0,0,0,0,1.9875,1.6387,0,0,0,0,0.0155,0,0,0
111,Black Sloan's  revisited,Black,Satin,Opaque,10,11,68.3722,6.5899,1.6215,0,3.3337,2.3428,5.6764,0,0.0433,9.7552,0,0,1.8035,0,0,0,0,0.4829,0,0,0,1.3707,4.2109,0,0,0,0,0.0736,0,0,0
113,Black St John's,Black,,,10,10,68.2171,11.5347,0,0,2.6389,3.4453,6.0843,0,3.5745,5.6591,0,0,0,0,0,0,0,0,0,0,0,1.7242,2.9431,0,0,0,0,0.263,0,0,0
115,Black St John's by Brian Voth,Black,,,10,10,69.5037,9.5584,0,0,2.4239,3.0652,5.4891,0,4.4551,6.0722,0,0,0,0,0.0501,0,0,0,0,0,0,1.3687,2.9169,0,0,0,0,0.5859,0,0,0
116,Black St. John's Alberta Slip,Black,Glossy,Opaque,9,9,63.8997,11.5091,0,0,2.7571,4.1692,6.9262,0,5.4621,6.0741,0,0,0,0,0.04,0,0,0,0,0,0,1.5893,4.2883,0,0,0,0,0.2111,0,0,0
117,Black Super,Black,,,10,10,71.3224,8.8369,0,0,4.0645,0.0145,4.079,0,0.0337,10.5699,0,0,0,0,0.0241,0,0,0,0,0,0,2.4101,0,0,2.6613,0,0,0.0626,0,0,0
118,Black Tenmoku,Iron - Tenmoku,Glossy,,9,10,69.5733,8.8168,0,0,7.0337,0,7.0337,0,0,10.5442,0,0,0,0,0,0,0,0,0,0,0,4.032,0,0,0,0,0,0,0,0,0
119,Val Cushing V.C. Black Satin,Black,Satin - Matte,Opaque,9,10,65.0829,6.3745,0,0,2.0886,2.0843,4.1729,0,11.9343,7.0232,0,0,0,0,0,0,0,0.4231,0,1.2857,0,1.2034,2.4035,0,0,0,0,0.0966,0,0,0
120,Val Cushing V.C. Black Satin Doll,Black,Satin - Matte,Opaque,10,10,63.2891,9.1466,0,0,2.109,2.3025,4.4115,0,8.8315,4.9639,0,3.6321,0,0,0,0,0,0.4718,0,1.4336,0,2.3808,1.2058,0,0,0,0,0.2334,0,0,0
121,Val Cushing V.C. Black Satin Doll Revised,Black,Satin - Matte,Opaque,9,10,63.8446,6.6842,0,0,1.753,1.8389,3.5919,0,9.4695,7.2916,0,3.5591,0,0,0.0436,0,0,0.4623,0,1.4048,0,2.0834,1.1816,0,0,0,0,0.3835,0,0,0
122,Blacksmith,Black,Satin - Matte,Opaque,10,10,58.8084,13.8874,0,0,3.9874,1.869,5.8564,0,6.7624,9.0002,0,0,0,0,0.0374,0,0,0.4699,0,1.4278,0,1.8513,1.8015,0,0,0,0,0.0973,0,0,0
123,Blanc cendré,Ash,Glossy,Opaque,8,10,63.0454,4.5625,0,0,8.5243,1.6088,10.1331,0,7.2642,7.1727,0,0,0,0,2.1132,0,0,0,0.6728,0,0,0.1172,0,0,0,0,0,0.0766,0,4.8422,0
124,Blanc de Michel,"White, Off-White",Satin,Opaque,8,10,54.874,12.6692,2.704,2.7811,2.8869,1.3078,4.1946,0,0.038,20.5322,0,0,0,0,0.0272,0,0,0,0,0,0,0.0873,0,0,0,0,0,0.0706,0,2.0216,0
125,Blanc Julien Glacé,"White, Off-White",Glossy,Opaque,8,10,61.8038,9.4597,0,1.6165,4.4382,2.0312,6.4694,0,0.0278,11.5522,0,0,4.6301,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.0472,0,4.3433,0
126,Blatant Blue,Blue,Glossy,,9,10,73.2732,7.4963,0,0,2.3921,1.0485,3.4406,0,0.1681,14.0811,0,0,0,0,0,0,0,0,0,0,0,0.1101,1.2136,0,0,0,0,0.217,0,0,0
127,Bleached Albany,Iron - Slip-Based,,,10,10,55.6615,12.3421,0,0,1.9653,1.8477,3.8129,0,5.0289,21.3244,0,0,0,0,0.0601,0,0,0,0,0,0,1.5155,0,0,0,0,0,0.2547,0,0,0
129,Bleu texturé,Blue,Glossy - Semi,Opaque,8,10,64.1199,10.4081,0,0,3.1744,1.4388,4.6132,0,0.0386,12.4228,2.5852,0,0,0,0.0275,0,0,0,0,0,0,0.3029,1.54,0,0,0,0,3.9419,0,0,0
132,Blue Aldrich,Matte - Magnesium Matte,Matte - Semi,Opaque,9,9,63.9208,10.4152,0,0,2.9767,1.3481,4.3248,0,6.7258,11.2269,0,0,0,0,0.0292,0,0,0,0,0,0,0.2275,0.6082,0,0,0,0,2.5215,0,0,0
134,Blue c10,Blue,,,10,10,64.6831,11.8663,0,0,1.604,2.8623,4.4663,0,7.326,11.2561,0,0,0,0,0.0052,0,0,0,0,0,0,0.0657,0.291,0,0,0,0,0.0401,0,0,0
135,Blue Carlton Mottled,Blue,Glossy,Opaque,9,10,67.0682,6.1333,2.2994,0,3.3462,1.9261,5.2722,0,3.9065,7.5362,1.512,0,1.4517,0,0.0065,0,0,0,0,0,0,0.2521,0,0,0.2656,0,0,3.1203,0,0,1.176
136,Blue Celadon - Choy Blue,Iron - Celadon,Glossy,,9,10,75.0041,7.541,0,0,4.0193,1.8044,5.8236,0,0.0276,5.4092,0,5.2693,0,0,0,0,0,0,0,0,0,0.9237,0,0,0,0,0,0.0013,0,0,0
137,Blue Chun Glaze,Iron - Celadon - Chun,Glossy,,9,10,73.7629,6.9392,0,0,6.9371,0,6.9371,0,0,10.6411,0,0.9638,0,0,0.2946,0,0,0,0,0,0,0.4612,0,0,0,0,0,0,0,0,0
141,Blue Crazy Rutile Jillian's,Blue,Glossy,Semi-opaque,10,10,66.5241,6.0061,2.3053,0,3.3469,1.8957,5.2427,0,3.8803,5.7648,1.5159,0,1.4554,0,0.0065,0,0,0,0,0,0,0.3388,0,0,0.7989,0,0,4.9823,0,0,1.179
